claim_number,age_of_driver,safety_rating,annual_income,high_education,address_change,zip_code,claim_date,past_num_of_claims,liab_prct,police_report,age_of_vehicle,vehicle_price,total_claim,injury_claim,policy_deductible,annual_premium,days_open,form_defects,gender_M,marital_status_0,marital_status_1,property_status_Rent,claim_day_of_week_Friday,claim_day_of_week_Monday,claim_day_of_week_Saturday,claim_day_of_week_Sunday,claim_day_of_week_Thursday,claim_day_of_week_Tuesday,claim_day_of_week_Wednesday,accident_site_Local,accident_site_Parking Lot,witness_present_0,witness_present_1,channel_Online,channel_Phone,vehicle_category_Large,vehicle_category_Medium,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white,fraud_reported_Y
7568640,51,87,162891.2,1,0,85035,,2,99,1,4.0,31615.03599,28699.249,7990.167818,500,1355.08,8.550854393,4,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
7817472,41,66,29408.0,1,0,20163,,0,99,1,7.0,13942.05244,41405.79596,3996.453104,500,1158.03,9.701092284,5,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True
7838208,50,68,62593.6,1,1,15053,2024-06-09,0,3,1,7.0,17149.64126,11575.14651,3043.078453,1000,1372.27,8.95681254,4,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
7900416,47,79,61592.0,1,1,80002,,0,1,1,4.0,28423.24271,42880.44492,6387.075386,1000,1275.39,10.38860723,8,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True
8045568,49,79,82292.8,0,1,85028,,1,24,1,7.0,11488.23238,19754.24336,6706.715266,500,1344.36,7.47937187,3,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
8211456,33,64,95934.4,1,0,20107,,0,3,0,2.0,12267.68033,13732.00306,1971.468572,500,1203.24,7.617566343,3,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False
8273664,44,89,80561.6,1,1,20165,,0,21,1,3.0,49584.22238,47665.79269,7193.215579,1000,1152.4,6.924367299,3,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False
8335872,33,57,75953.6,1,1,20104,,0,96,1,8.0,31494.75576,9692.92145,7457.212527,2000,1142.62,7.019133346,2,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False
8792064,52,70,82292.8,1,1,50035,2023-09-12,0,14,1,8.0,28494.95994,34879.35173,6669.939824,500,1229.16,10.04717681,0,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False
9020160,41,64,80561.6,1,0,20156,,2,20,1,3.0,24455.90722,32964.01489,7713.185245,500,1706.79,10.26960072,8,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False
9206784,58,86,82292.8,0,1,20106,,1,93,0,4.0,14203.39611,34878.65574,3798.774361,500,885.08,8.619270212,2,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False
9248256,37,72,72593.6,1,1,15019,,2,99,1,4.0,9367.193013,8871.641743,8015.944434,500,1046.58,8.276694232,3,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
9455616,63,89,66300.8,1,0,80109,2024-03-03,2,44,0,8.0,17901.32007,52692.08773,7462.860816,500,1382.88,8.167530488,3,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True
9517824,35,68,56873.6,1,1,50002,,0,83,0,7.0,31524.63393,10721.7675,2018.040967,1000,1141.35,9.368615794,2,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False
9745920,42,68,93347.2,1,0,80034,,0,2,1,3.0,11534.5613,30124.33636,2245.716441,1000,986.53,8.042216093,3,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False
10305792,48,94,80561.6,0,1,85067,2024-05-12,3,0,1,6.0,25215.6433,17997.97862,4501.841953,500,1722.95,8.096150872,2,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
10326528,53,75,63524.8,1,0,50009,,0,0,0,2.0,15287.00801,15750.40069,3729.623072,2000,1281.07,9.306265973,4,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False
10347264,38,72,58209.6,1,0,15025,,0,56,1,6.0,13844.87602,33318.56541,2361.170033,500,1011.92,8.195952079,6,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False
10492416,46,74,61276.8,1,0,80104,2023-02-01,1,9,1,4.0,37107.88786,16664.41035,5422.67774,500,1301.72,9.88013309,2,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False
10679040,35,87,86892.8,1,1,20156,,0,92,0,1.0,19600.90487,18686.10785,5627.615502,500,767.14,8.064835853,4,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False
10803456,23,63,70152.0,1,1,15047,2024-12-04,0,73,0,4.0,25707.24161,16029.7098,5984.304844,1000,1538.26,9.369675313,5,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False
11176704,51,80,62929.6,1,0,15025,,0,2,1,8.0,14774.95313,16085.05867,2930.331295,500,1314.6,8.402431024,3,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True
11197440,52,68,63228.8,1,1,80002,2024-10-10,0,0,1,6.0,30100.26728,20823.61491,5670.095421,1000,1515.18,10.75748484,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False
11840256,27,87,82292.8,1,1,85054,2024-12-05,0,57,1,2.0,25604.80108,26180.26783,4214.161394,1000,2047.59,9.784155061,4,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
11860992,80,49,72593.6,0,0,50032,2023-02-12,1,52,1,6.0,12946.99314,19294.14962,7547.316852,1000,1083.72,7.054656296,0,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
11964672,43,32,20169.6,1,1,50032,2023-09-01,0,6,0,6.0,11544.57147,28746.61543,3630.172038,2000,1371.78,9.188036472,6,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True
12047616,65,73,26795.2,0,1,20144,,0,22,0,6.0,34869.33691,21577.29777,7656.655706,2000,932.14,8.850708118,3,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
12441600,39,73,58630.4,1,0,15025,,0,96,1,7.0,16738.04241,27218.24311,2248.581941,1000,773.99,9.915172704,2,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False
13022208,42,57,59760.0,1,1,50007,,0,100,0,5.0,31016.35773,17797.18499,3165.039852,500,1459.97,8.424434192,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
13167360,53,78,163536.0,1,0,0,,0,68,0,7.0,25747.59643,28683.68958,3435.867014,500,865.33,7.876778029,9,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False
13436928,55,86,34105.6,1,0,15045,,0,69,0,2.0,10736.03065,48844.29531,4683.967849,2000,1134.08,10.47431442,6,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
13499136,49,62,62257.6,1,1,15021,,0,14,0,6.0,65059.67998,22881.72598,5041.963304,2000,1304.67,8.949300458,2,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
13561344,27,69,52723.2,1,0,80024,,3,86,1,7.0,10073.11234,19897.24191,4045.376399,2000,1035.79,8.579935193,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
14162688,53,92,43515.2,1,0,80021,,0,76,1,3.0,14621.55121,23206.44925,2961.131957,2000,694.45,10.53081735,5,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True
14660352,38,70,58177.6,1,1,15001,2023-01-04,0,97,0,5.0,9610.594669,51668.90094,6294.042374,1000,1004.63,8.845165216,5,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
14722560,68,66,37552.0,0,1,15012,,1,97,1,7.0,26014.27743,19733.7098,2439.667767,1000,1194.0,9.180571971,1,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True
14743296,23,80,150181.0,1,0,15021,,0,99,1,3.0,50337.8293,32663.07309,1625.777507,1000,1248.25,8.577774108,1,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
14867712,43,88,160162.0,1,0,85068,,0,84,1,5.0,37125.67225,33959.29759,1694.017873,500,1338.54,9.532174967,5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
14992128,42,44,79776.0,1,1,15056,2024-12-03,0,0,1,9.0,63361.03214,31320.12327,4933.853885,1000,1275.81,8.8681209,1,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False
15116544,52,76,63216.0,1,0,85069,,1,41,0,2.0,13881.85867,52882.29067,3643.979917,2000,972.47,7.161016793,3,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False
15199488,37,78,87776.0,1,1,80011,,0,43,1,4.0,38455.01501,29864.72945,3659.682727,500,806.31,8.176495295,7,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False
15303168,52,69,160162.0,0,0,80013,,5,76,1,4.0,17243.70739,45190.14619,3760.108962,500,947.75,8.786623863,3,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False
15323904,48,80,95941.0,0,0,50049,2024-04-03,1,86,0,6.0,12917.2572,13553.05598,5708.055749,2000,1018.73,8.689523936,6,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False
15552000,32,84,55462.4,0,1,50021,2023-07-01,0,90,1,4.0,17289.21237,17203.24516,5771.836303,500,915.29,9.921034324,9,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True
15780096,45,41,87776.0,1,1,85005,,0,74,0,4.0,24722.50125,50905.8586,4486.818427,1000,1086.48,10.7964143,6,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False
15925248,41,91,19408.0,1,0,15057,2023-12-09,0,76,0,6.0,25179.98403,10762.97406,4584.123661,2000,765.64,8.893795219,3,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True
15987456,23,64,150181.0,1,0,80034,2023-09-03,0,36,1,3.0,23685.50367,6219.439115,4753.01309,2000,1327.41,9.221183782,3,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
16277760,32,63,55449.6,1,0,20142,,0,32,0,3.0,23000.62238,7117.604451,3856.532491,500,903.32,10.02134434,4,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
16588800,37,69,57795.2,0,0,20109,2024-06-07,0,58,0,3.0,34134.5335,17069.92277,8553.746771,500,889.13,8.558991673,3,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False
16671744,51,73,150181.0,1,0,50044,2023-06-02,0,32,1,5.0,8302.884838,12833.60782,4101.351151,2000,995.56,10.25876605,1,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False
16899840,43,65,60187.2,0,0,20107,,0,51,0,2.0,4842.456173,9882.544104,5750.977419,500,1379.93,7.536783984,5,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
16920576,30,89,54400.0,1,0,20119,,0,3,1,3.0,20147.88261,22833.77586,2272.118067,1000,1554.64,8.986190339,4,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True
16962048,54,30,163820.8,1,0,50038,2023-10-11,1,24,1,4.0,22710.86772,18852.53509,3121.382598,1000,1377.94,9.434962585,3,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
17293824,48,52,150181.0,0,1,20152,,0,17,0,6.0,15995.36838,19570.05302,6269.606997,500,1259.02,9.221813141,6,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False
17563392,46,83,95941.0,1,0,50027,,0,0,1,4.0,57172.22455,54261.1606,4580.849745,500,1399.27,8.470496578,2,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False
17687808,55,50,160162.0,1,1,20160,2024-10-03,0,52,1,2.0,26349.40418,17093.35733,4793.678945,500,1365.46,7.699852647,2,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
18144000,45,82,60912.0,1,1,80105,,0,22,1,6.0,12458.86467,11712.65549,3567.298101,2000,1595.07,9.57388254,3,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
18164736,37,87,57753.6,1,1,15042,,0,90,0,5.0,16338.82699,23806.10639,5340.626994,1000,1127.89,9.37361375,3,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False
18247680,40,71,59014.4,1,1,85055,2024-11-11,0,26,1,6.0,27967.56375,40563.95393,4797.526974,1000,1829.63,8.950017296,3,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False
18330624,44,85,60537.6,0,1,20140,,2,16,1,8.0,22390.58718,18074.51541,8178.356479,1000,904.7,8.348900664,2,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True
18517248,26,64,62144.0,1,1,85050,,1,0,1,2.0,17548.47072,36526.19442,2503.438089,500,1216.56,9.204012486,4,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False
18579456,48,91,61924.8,1,0,50036,2024-01-06,0,64,1,6.0,45536.25228,37062.59236,4732.768023,2000,966.26,8.422823474,6,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False
18620928,53,59,160162.0,0,1,85051,2024-10-06,0,52,1,5.0,27627.86559,17203.42597,3396.363297,500,1203.17,9.03712699,0,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False
18703872,77,83,95941.0,1,0,80024,2024-07-10,0,36,1,3.0,45498.18177,35390.50774,2293.342919,2000,1212.12,9.159244202,6,True,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False
18952704,40,76,59024.0,0,0,80001,2024-12-07,0,72,0,5.0,11666.58614,57299.09723,3114.881097,500,1097.57,10.19611724,4,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False
18994176,24,98,30833.6,0,1,85073,,1,81,0,6.0,14976.48873,15994.91383,4401.706538,500,922.67,8.947221237,4,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
19035648,43,75,80185.6,1,1,85030,2023-11-08,1,35,0,2.0,15503.9907,17054.73409,11319.60982,500,1195.01,7.321504282,2,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
19139328,58,80,64955.2,1,0,80014,,0,28,1,4.0,17627.16152,27152.64159,11589.08094,2000,1102.29,9.082078713,6,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False
19222272,49,80,62280.0,0,1,50003,2024-08-10,3,80,1,6.0,12712.56889,18364.82224,6456.132459,500,1527.95,9.112121282,4,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False
19325952,49,58,62254.4,1,1,50047,,0,96,1,3.0,34910.40405,28211.03849,3648.663049,1000,1366.39,10.24949033,4,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
19367424,43,81,160184.0,1,0,15012,,2,21,1,1.0,17059.55326,47036.35003,3451.848241,1000,1403.9,10.30976206,3,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
19450368,53,60,30833.6,0,0,20148,,0,32,0,10.0,32348.74069,29288.44716,4496.81883,2000,1554.86,7.763337136,9,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True
19885824,62,42,96035.2,1,0,15010,,0,15,1,4.0,23157.78558,10789.29226,7768.325519,2000,1724.46,8.94770139,2,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False
20093184,37,83,57787.2,0,1,50055,2023-02-05,0,89,1,6.0,21344.5999,26892.16878,7622.251837,2000,1241.04,9.192366601,8,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
20134656,22,86,149433.6,1,0,85051,,1,43,1,4.0,26475.48716,9013.200049,5503.953904,500,1757.21,9.735575698,7,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False
